,raw,log,category
147,8.40171e-05,-9.384490208410242,9
148,8.542694e-05,-9.367849050241272,9
149,0.0004317856,-7.74758138921223,7
150,9.614039999999999e-05,-9.249700934907988,9
151,0.00034227096,-7.979907853888594,7
152,0.0002084922,-8.475608927497134,8
153,0.00013998140000000001,-8.87400100132412,8
154,0.00019228052,-8.55655521055274,8
155,8.007e-05,-9.432609305879732,9
156,0.00012207842,-9.010846932844776,9
157,5.074856e-05,-9.888627314829174,9
158,5.215829999999999e-05,-9.861227232901548,9
159,5.11715e-05,-9.88032782152572,9
160,5.709210000000001e-05,-9.770844804639399,9
161,0.00012362912,-8.998224441984199,8
162,3.834338e-05,-10.168928665651398,
163,9.656324000000001e-05,-9.245312427471152,9
164,0.0001873466,-8.582550180740867,8
165,5.342688e-05,-9.837196567860184,9
166,6.287181999999999e-05,-9.674412507364163,9
167,0.00175308,-6.3463810380318515,6
168,0.0016553909999999998,-6.403718044280205,6
169,0.00022963739999999998,-8.379009014798259,8
170,0.0018886939999999998,-6.271869694055787,6
171,0.0002122982,-8.457518667859071,8
172,0.0009788832000000001,-6.929098227964908,6
173,9.825472e-05,-9.227947267656353,9
174,0.000248809,-8.29882502412006,8
175,7.147093999999999e-05,-9.546219624447254,9
176,6.414058e-05,-9.654433321021099,9
177,0.0001158759,-9.062990767118126,9
178,4.102172e-05,-10.101408875433629,
179,0.00010502140000000001,-9.16134641904928,9
180,5.779696e-05,-9.758574378824825,9
181,6.0475419999999995e-05,-9.713273556473697,9
182,4.44051e-05,-10.022156230257693,
183,0.0001784658,-8.631113571740217,8
184,5.3708879999999995e-05,-9.831932206991938,9
185,0.00010459844,-9.1653819204026,9
186,0.00029462360000000003,-8.129811948522407,8
187,7.429026e-05,-9.507530705008595,9
188,3.665174e-05,-10.214049654633058,
189,3.059012e-05,-10.394833476958551,
190,2.60792e-05,-10.55437249622293,
191,2.3964599999999998e-05,-10.638932816499695,
192,3.580594e-05,-10.237396756533407,
193,3.82024e-05,-10.172612217100161,
194,2.523332e-05,-10.587345214590705,
195,3.8202402000000004e-05,-10.17261216474743,
196,0.0001934086,-8.5507055085087,8
197,8.64136e-05,-9.356365487134102,9
198,0.000266571,-8.229869933330633,8
199,0.00011841327999999999,-9.041329679641912,9
200,0.00017762019999999998,-8.635862995135225,8
201,0.00012997276,-8.94818566792648,8
202,0.00013645744000000002,-8.899497786829182,8
203,6.69599e-05,-9.611416625213081,9
204,5.8924740000000005e-05,-9.739249521540444,9
205,2.8193659999999998e-05,-10.476413427991652,
206,3.1858819999999995e-05,-10.354196291205296,
207,3.21408e-05,-10.345384306863254,
208,2.2977800000000002e-05,-10.6809820255487,
209,2.410558e-05,-10.633067208998108,
210,4.059884e-05,-10.111771063193329,
211,3.044918e-05,-10.399451493563417,
