,raw,log,category
2,0.000316474,-8.058269468253625,8
3,0.000169162,-8.684653722303844,8
4,0.000147312,-8.822957771418784,8
5,0.000171276,-8.672234267528642,8
6,0.000137444,-8.892293996542984,8
7,0.000280527,-8.178840580949409,8
8,0.00035383,-7.94669398616463,7
9,0.000304491,-8.096869027901375,8
10,0.000272774,-8.206866944454944,8
11,0.000183964,-8.600770471671584,8
12,0.000167047,-8.69723534801777,8
13,0.000236122,-8.351161937358304,8
14,0.012685,-4.3673350859308915,4
15,0.00221532,-6.112358416393795,6
16,0.0246145,-3.704419578795669,3
17,0.0375011,-3.2833850131026523,3
18,0.0107975,-4.528440653129418,4
19,0.000922637,-6.988274683590939,6
20,0.0230264,-3.7711138952147385,3
21,0.000921228,-6.989802995342889,6
22,0.000616031,-7.3922132710216735,7
23,0.000383434,-7.866343051055064,7
24,0.000295328,-8.127423954881108,8
25,0.000530746,-7.541226993914254,7
26,0.000472949,-7.656522997695743,7
27,0.000577265,-7.45720912479227,7
28,0.298361,-1.2094511162450734,1
29,0.00364614,-5.614086205218208,5
30,0.0209888,-3.863766316864858,3
31,0.00144563,-6.539210066272922,6
32,0.00134766,-6.609385523825516,6
33,0.0011503,-6.7677325010623095,6
34,0.000503962,-7.593009689560786,7
35,0.0113501,-4.478528724520851,4
36,0.0397079,-3.2262051186420377,3
37,0.0050227,-5.29378764126164,5
38,0.0120042,-4.4224986904298484,4
39,0.00617089,-5.087912205114023,5
40,3.90745,1.362884987326316,-1
41,0.00882039,-4.730689192253935,4
42,0.0082847,-4.7933448387773145,4
43,0.00705828,-4.953553883220959,4
44,0.00660718,-5.019598342473196,5
45,0.00405918,-5.506774296210622,5
46,0.00320632,-5.7426314169248425,5
47,0.00661,-5.019171625118542,5
48,0.00202571,-6.201835022591561,6
49,0.00193197,-6.2492150712626815,6
50,0.00147312,-6.520372678424739,6
51,0.00106361,-6.84608649660877,6
52,0.000752066,-7.1926864719081935,7
53,0.000680877,-7.292128884868018,7
54,0.000719643,-7.236755302253503,7
55,0.000656207,-7.329034270014743,7
56,0.000815501,-7.111707909662388,7
57,0.000470834,-7.661004967683587,7
58,0.000456032,-7.692947575473473,7
59,0.000401055,-7.821411982955649,7
60,0.000325637,-8.029727293928374,8
61,0.000482816,-7.635874929273446,7
62,0.000830303,-7.093719863550944,7
63,0.0840833,-2.475947304848718,2
64,0.00384984,-5.559723689987578,5
65,0.0237116,-3.741790899106562,3
66,0.00342623,-5.676294747649978,5
67,0.00231893,-6.066649406589083,6
68,0.000843695,-7.0777195030873665,7
69,0.000533565,-7.535929657718021,7
70,0.000631538,-7.367352443795682,7
71,0.000459556,-7.685249751994708,7
72,0.000428543,-7.755119474902827,7
73,0.000384138,-7.8645086949362755,7
